date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:19	9724/9724	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2006:14:58%20GMT	http://www.dbpengineering.co.in/filter-tank.html	F:/pd/www.dbpengineering.co.in/filter-tank.html	(from http://www.dbpengineering.co.in/tank.html)
17:10:23	285502/285502	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2012:39:04%20GMT	http://www.dbpengineering.co.in/assets/images/products/product5.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product5.jpg	(from http://www.dbpengineering.co.in/dished-end.html)
17:10:34	184155/184155	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2009:03:30%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/structure-mockup.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/structure-mockup.jpg	(from http://www.dbpengineering.co.in/structure-mockup.html)
17:10:34	9735/9735	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2006:14:58%20GMT	http://www.dbpengineering.co.in/vertical-tank.html	F:/pd/www.dbpengineering.co.in/vertical-tank.html	(from http://www.dbpengineering.co.in/tank.html)
17:10:38	169400/169400	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2009:06:16%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/tank.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/tank.jpg	(from http://www.dbpengineering.co.in/tank.html)
17:10:38	9760/9760	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2006:14:58%20GMT	http://www.dbpengineering.co.in/water-filtter-tank.html	F:/pd/www.dbpengineering.co.in/water-filtter-tank.html	(from http://www.dbpengineering.co.in/tank.html)
17:10:40	129955/129955	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2011:28:06%20GMT	http://www.dbpengineering.co.in/assets/images/products/product2.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product2.jpg	(from http://www.dbpengineering.co.in/tank.html)
17:10:44	133980/133980	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2012:26:32%20GMT	http://www.dbpengineering.co.in/assets/images/products/product10.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product10.jpg	(from http://www.dbpengineering.co.in/tank.html)
17:10:51	99997/99997	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2012:24:51%20GMT	http://www.dbpengineering.co.in/assets/images/products/product16.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product16.jpg	(from http://www.dbpengineering.co.in/tank.html)
17:10:53	79295/79295	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2011:46:38%20GMT	http://www.dbpengineering.co.in/assets/images/products/product12.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product12.jpg	(from http://www.dbpengineering.co.in/tank.html)
17:11:03	111891/111891	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2009:22:10%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/zinc-port.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/zinc-port.jpg	(from http://www.dbpengineering.co.in/zinc-port.html)
